ground_truth_name,roles,n_events,events,graph_name,graph_match_type,graph_match_score,gt_graph_hop,corpus_name,corpus_match_type,corpus_match_score,gt_has_corpus_doc,needs_human_review,resolution_note
"AXT, Inc. (and its Beijing subsidiary Tongmei)",affected,1,54_yunnan_chihong_zinc_germanium_2023,,not_found,48.8,,,not_found,38.2,False,False,
"Air Products and Chemicals, Inc.",affected,1,8_exxon_mobil_2005,air products and chemicals,ground_truth_provided,100.0,3,,not_found,53.8,False,False,
Alcoa Corporation,affected,1,35_gazprom_pjsc_2022,alcoa,ground_truth_provided,100.0,2,alcoa,suffix_strip,100.0,True,False,
Aleris Corporation,affected,1,57_united_co_rusal_international_pjsc_2018,,not_found,71.4,,,not_found,61.5,False,False,
Anadarko Petroleum Corporation,affected,1,24_bp_2010,,not_found,75.0,,,not_found,59.1,False,False,
Anglo American plc,affected,1,11_aurizon_2010,,not_found,75.9,,,not_found,55.8,False,False,
Aquila Resources,affected,1,11_aurizon_2010,,not_found,83.9,,,not_found,63.4,False,False,
ArcelorMittal,affected,1,11_aurizon_2010,arcelormittal,ground_truth_provided,100.0,2,arcelormittal,exact,100.0,True,False,
ArcelorMittal S.A.,affected,1,35_gazprom_pjsc_2022,arcelormittal,ground_truth_provided,100.0,2,,not_found,83.9,False,False,
Ascend Performance Materials,affected,1,4_dow_2017,,not_found,79.2,,,not_found,46.8,False,False,
Ashland Global Holdings Inc.,affected,1,4_dow_2017,ashland,ground_truth_provided,100.0,3,,not_found,50.0,False,False,
Aurizon Holdings Limited,affected,1,59_coronado_global_resources_2020,aurizon,ground_truth_provided,100.0,1,,not_found,60.9,False,False,
BHP Billiton,affected,1,11_aurizon_2010,bhp,ground_truth_provided,100.0,1,,not_found,40.0,False,False,
"CF Industries Holdings, Inc.",affected,1,8_exxon_mobil_2005,cf industries,ground_truth_provided,100.0,4,,not_found,48.5,False,False,
Celanese Corporation,affected,1,5_formosa_plastics_2021,celanese,ground_truth_provided,100.0,3,,not_found,46.2,False,False,
China Petrochemical Development Corporation,affected,1,19_cpc_corp_taiwan_2014,china petrochemical development,ground_truth_provided,100.0,1,,not_found,61.5,False,False,
Cockatoo Coal,affected,1,11_aurizon_2010,,not_found,61.5,,,not_found,55.6,False,False,
"Concraft Holding Co., Ltd.",affected,1,40_state_grid_corp_of_china_2021,,not_found,64.9,,,not_found,44.0,False,False,
Constellium SE,affected,1,57_united_co_rusal_international_pjsc_2018,constellium se,ground_truth_provided,100.0,4,,not_found,48.3,False,False,
"Core Molding Technologies, Inc.",affected,1,5_formosa_plastics_2021,,not_found,76.6,,,not_found,50.9,False,False,
Diodes Incorporated,affected,1,40_state_grid_corp_of_china_2021,,not_found,66.7,,,not_found,50.0,False,False,
Ensham Resources,affected,1,11_aurizon_2010,,not_found,80.0,,,not_found,58.5,False,False,
"Eson Precision Industry Co., Ltd.",affected,1,40_state_grid_corp_of_china_2021,,not_found,83.0,,,not_found,39.3,False,False,
Eurasian Resources Group (ERG),affected,1,48_glencore_2025,eurasian resources,ground_truth_provided,100.0,4,,not_found,54.5,False,False,
Exxon Mobil Corporation,affected,1,4_dow_2017,exxon mobil,ground_truth_provided,100.0,2,exxon mobil,suffix_strip,100.0,True,False,
FedEx Corporation,affected,1,9_xinxiang_tianli_energy_2021,fedex,ground_truth_provided,100.0,3,,not_found,40.0,False,False,
Ford Motor Company,affected,2,2_nippon_steel_2011;47_china_steel_2018,ford motor,ground_truth_provided,100.0,1,ford motor,suffix_strip,100.0,True,False,
Formosa Chemicals & Fibre Corp (FCFC),affected,1,20_formosa_petrochemical_2019,formosa chemicals & fibre,ground_truth_provided,100.0,1,,not_found,50.8,False,False,
"Formosa Plastics Corp., U.S.A.",affected,1,4_dow_2017,formosa plastics,ground_truth_provided,100.0,1,,not_found,69.6,False,False,
Genco Shipping & Trading Limited,affected,1,59_coronado_global_resources_2020,,not_found,65.2,,,not_found,44.0,False,False,
General Motors Company,affected,2,2_nippon_steel_2011;47_china_steel_2018,general motors,ground_truth_provided,100.0,1,general motors,suffix_strip,100.0,True,False,
"Hitachi, Ltd.",affected,1,2_nippon_steel_2011,hitachi,ground_truth_provided,100.0,1,hitachi,suffix_strip,100.0,True,False,
"Hon Hai Precision Industry Co., Ltd. (Foxconn)",affected,1,9_xinxiang_tianli_energy_2021,hon hai precision industry,ground_truth_provided,100.0,5,,not_found,40.0,False,False,
"Honda Motor Co., Ltd.",affected,1,2_nippon_steel_2011,honda motor,ground_truth_provided,100.0,1,,not_found,64.0,False,False,
Hutchison 3 Indonesia,affected,1,38_perusahaan_perseroan_persero_pt_perusahaan_listrik_negara_2019,,not_found,58.5,,,not_found,44.4,False,False,
IKEA (Inter IKEA / Ingka Group),affected,1,9_xinxiang_tianli_energy_2021,,not_found,56.2,,,not_found,45.3,False,False,
INEOS,affected,1,4_dow_2017,ineos,ground_truth_provided,100.0,3,,not_found,50.0,False,False,
INVISTA,affected,1,4_dow_2017,,not_found,73.7,,,not_found,46.2,False,False,
Indosat Ooredoo,affected,1,38_perusahaan_perseroan_persero_pt_perusahaan_listrik_negara_2019,indosat tbk pt,ground_truth_provided,100.0,1,,not_found,45.2,False,False,
Infineon Technologies AG,affected,1,5_formosa_plastics_2021,infineon technologies,ground_truth_provided,100.0,3,,not_found,48.5,False,False,
KAI Commuter,affected,1,38_perusahaan_perseroan_persero_pt_perusahaan_listrik_negara_2019,,not_found,66.7,,,not_found,52.6,False,False,
Kaiser Aluminum Corporation,affected,1,57_united_co_rusal_international_pjsc_2018,kaiser aluminium,human_confirmed,100.0,,,not_found,64.5,False,False,"Fuzzy match (96.8) flagged for review on principle, not because of any real doubt: company_nodes.txt has exactly ONE ""kaiser"" entry, ""kaiser aluminium"" -- American vs British spelling (""aluminum"" vs ""aluminium"") of the same real company, no competing candidate exists."
Komatsu Ltd.,affected,1,2_nippon_steel_2011,komatsu,ground_truth_provided,100.0,1,komatsu,suffix_strip,100.0,True,False,
"Korinox Co., Ltd. (코리녹스)",affected,1,1_posco_2022,,not_found,46.5,,,not_found,37.5,False,False,
LCY Chemical Corp.,affected,1,19_cpc_corp_taiwan_2014,,not_found,83.3,,,not_found,52.6,False,False,
LyondellBasell Industries N.V.,affected,1,5_formosa_plastics_2021,lyondellbasell industries,ground_truth_provided,100.0,3,,not_found,44.9,False,False,
MRT Jakarta,affected,1,38_perusahaan_perseroan_persero_pt_perusahaan_listrik_negara_2019,,not_found,56.0,,,not_found,50.0,False,False,
Macarthur Coal Limited,affected,1,11_aurizon_2010,,not_found,59.3,,,not_found,47.6,False,False,
NXP Semiconductors N.V.,affected,1,5_formosa_plastics_2021,nxp semiconductors,ground_truth_provided,100.0,4,,not_found,43.2,False,False,
Nalco Holding Company,affected,1,8_exxon_mobil_2005,,not_found,78.6,,,not_found,45.7,False,False,
