doc_id,company,cik,source_type,form,published_date,accession,sections,chars,n_chunks,status,url
2e9b044a0764f2b8,panasonic,63271,annual_report,20-F,2004-09-13,0001193125-04-155264,full_document,401290,142,rechunked,https://www.sec.gov/Archives/edgar/data/63271/000119312504155264/d20f.htm
21336f6426fea55a,mitsui,67099,annual_report,20-F,2004-09-30,0001145549-04-001298,full_document,751532,287,rechunked,https://www.sec.gov/Archives/edgar/data/67099/000114554904001298/k00733e20vf.htm
efe96e88c24b0da8,bhp,811809,annual_report,20-F,2004-10-20,0001193125-04-174067,full_document,1137363,428,rechunked,https://www.sec.gov/Archives/edgar/data/811809/000119312504174067/d20f.htm
80eb1a3044898b0c,apple,320193,annual_report,10-K,2004-12-03,0001047469-04-035975,full_document,416238,144,rechunked,https://www.sec.gov/Archives/edgar/data/320193/000104746904035975/a2147337z10-k.htm
516f5b25c5b54bde,zf trw automotive,1267097,annual_report,10-K,2005-02-23,0000950124-05-001007,full_document,381566,138,rechunked,https://www.sec.gov/Archives/edgar/data/1267097/000095012405001007/k92209e10vk.htm
a0dcc9701444e7a2,3m,66740,annual_report,10-K,2005-02-24,0001104659-05-008057,full_document,298189,104,rechunked,https://www.sec.gov/Archives/edgar/data/66740/000110465905008057/a05-3853_110k.htm
501067dc8d9a3d10,exxon mobil,34088,annual_report,10-K,2005-02-28,0001193125-05-038144,full_document,361927,126,rechunked,https://www.sec.gov/Archives/edgar/data/34088/000119312505038144/d10k.htm
19ea0199d5996248,american axle & manufacturing,1062231,annual_report,10-K,2005-03-01,0001062231-05-000008,full_document,70699,26,rechunked,https://www.sec.gov/Archives/edgar/data/1062231/000106223105000008/ar-2004.htm
1137a662cb8aad8a,nexen,16873,annual_report,10-K,2005-03-01,0000950142-05-000617,full_document,548916,193,rechunked,https://www.sec.gov/Archives/edgar/data/16873/000095014205000617/form10k-2004.txt
39cf1e3599f4dbec,chevron,93410,annual_report,10-K,2005-03-03,0000950134-05-004137,full_document,484004,186,rechunked,https://www.sec.gov/Archives/edgar/data/93410/000095013405004137/f04196e10vk.htm
34dbf040d982e190,avient,1122976,annual_report,10-K,2005-03-04,0000950152-05-001761,full_document,282204,102,rechunked,https://www.sec.gov/Archives/edgar/data/1122976/000095015205001761/l12230ae10vk.htm
4ca248e3d00c2eb3,stanley black & decker,93556,annual_report,10-K,2005-03-07,0000950136-05-001204,full_document,242767,85,rechunked,https://www.sec.gov/Archives/edgar/data/93556/000095013605001204/file001.htm
b6761af415fe9817,dana,26780,annual_report,10-K,2005-03-09,0000950152-05-001912,full_document,325642,120,rechunked,https://www.sec.gov/Archives/edgar/data/26780/000095015205001912/l11933ae10vk.htm
cd88d71b49f22ba3,autoliv,1034670,annual_report,10-K,2005-03-10,0001034670-05-000030,full_document,65655,23,rechunked,https://www.sec.gov/Archives/edgar/data/1034670/000103467005000030/tenk05.htm
c83a6d64065d7e90,ford motor,37996,annual_report,10-K,2005-03-10,0000950124-05-001427,full_document,450429,167,rechunked,https://www.sec.gov/Archives/edgar/data/37996/000095012405001427/k91869e10vk.htm
