company,reason,detail
mercedes-benz,no CIK found,
robert bosch,no CIK found,
hyundai mobis,no CIK found,
posco future m,no CIK found,
hansol chemical,no CIK found,
kumho petrochemical,no CIK found,
tokai carbon,no CIK found,
nichias,no CIK found,
sunwoda electronic,no CIK found,
nan ya plastics,no CIK found,
krakatau steel persero tbk pt,no CIK found,
gunung raja paksi tbk pt,no CIK found,
waskita karya persero tbk pt,no CIK found,
medco energi internasional tbk pt,no CIK found,
stellantis,no CIK found,
great wall motor,no CIK found,
guangzhou automobile,no CIK found,
nissan motor,known non-filer,"Japan-listed, no current SEC registration"
china faw,no CIK found,
nexen tire,no CIK found,
forvia se,no CIK found,
wooshin systems,no CIK found,
baic bluepark new energy technology,no CIK found,
eicher motors,no CIK found,
hyundai transys,no CIK found,
saic volkswagen automotive,no CIK found,
nexteer automotive,no CIK found,
gotion high-tech,no CIK found,
schaeffler,no CIK found,
valeo se,no CIK found,
shanghai jiao yun,no CIK found,
audi,no CIK found,
kyb,no CIK found,
changan ford automobile,no CIK found,
guangqi honda automobile,no CIK found,
haima automobile,no CIK found,
jiangling motor holding,no CIK found,
sanyang motor,no CIK found,
zotye automobile,no CIK found,
dae won kang up,no CIK found,
changchun yidong clutch,no CIK found,
dy,no CIK found,
iav automotive engineering,no CIK found,
munjal showa,no CIK found,
shenyang jinbei automotive,no CIK found,
atlas honda,no CIK found,
gm korea,no CIK found,
yeong hwa metal,no CIK found,
dongfeng electronic technology,no CIK found,
honda atlas cars pakistan,no CIK found,
jay ushin,no CIK found,
topre,no CIK found,
grupo simec sab de cv,no CIK found,
vallourec saca,no CIK found,
indian oil,no CIK found,
ningbo shanshan,no CIK found,
taiwan cement,no CIK found,
cx technology,no CIK found,
saudi basic industries,no CIK found,
asiana airlines,no CIK found,
taeyang metal industrial,no CIK found,
hyundai rotem,no CIK found,
lucky cement,no CIK found,
shanghai huayi,no CIK found,
eurogroup laminations,no CIK found,
seah besteel,no CIK found,
press kogyo,no CIK found,
grupo pochteca sab de cv,no CIK found,
dongil industries,no CIK found,
kyowakogyosyo,no CIK found,
zhejiang huayou cobalt,no CIK found,
cngr advanced material,no CIK found,
iron force industrial,no CIK found,
ternium,no CIK found,
hyundai engineering & construction,no CIK found,
unipres,no CIK found,
san shing fastech,no CIK found,
seojin system,no CIK found,
hunan corun new energy,no CIK found,
pp persero tbk pt,no CIK found,
saic motor,known non-filer,Shanghai-listed (600104)
hero motocorp,no CIK found,
renault,no CIK found,
dongfeng motor,no CIK found,
samsung sdi,no CIK found,
baic motor,no CIK found,
jiangsu lixing general steel ball,no CIK found,
zhejiang geely holding,no CIK found,
sichuan haowu electromechanical,no CIK found,
kyungchang industrial,no CIK found,
subaru,no CIK found,
faw volkswagen automotive,no CIK found,
saic-gm-wuling automobile,no CIK found,
wanxiang qianchao,no CIK found,
vitesco technologies,no CIK found,
china motor,no CIK found,
ford otomotiv sanayi as,no CIK found,
sumitomo electric industries,no CIK found,
hyundai wia,no CIK found,
nemak sab de cv,no CIK found,
beijing automotive,no CIK found,
beijing hyundai motor,no CIK found,
dongfeng automobile,no CIK found,
aisan industry,no CIK found,
futaba industrial,no CIK found,
piaggio & c,no CIK found,
grupo industrial saltillo sab de cv,no CIK found,
hota industrial manufacturing,no CIK found,
shun on electronic,no CIK found,
ta yih industrial,no CIK found,
jardine strategic,no CIK found,
dgenx,no CIK found,
cnc driveline technology,no CIK found,
eurocharm,no CIK found,
hanjung natural connectivity system,no CIK found,
pusan cast iron,no CIK found,
neooto,no CIK found,
transaxle manufacturing of america,no CIK found,
kaison green energy technology,no CIK found,
formosa chemicals & fibre,known non-filer,Taiwan-listed (TWSE 1326)
yokohama rubber co ltd/the,no CIK found,
sk innovation,no CIK found,
