company,reason,notes,in_graph
cpc corp/taiwan,mandatory,event epicenter,True
coronado global resources,mandatory,event epicenter,True
hesteel,mandatory,event epicenter,True
gazprom pjsc,mandatory,event epicenter,True
xiamen tungsten,mandatory,event epicenter,True
chevron,mandatory,event epicenter,True
yunnan aluminium,mandatory,event epicenter,True
petrochina,mandatory,event epicenter,True
aneka tambang tbk,mandatory,event epicenter,True
s-oil,mandatory,event epicenter,True
formosa plastics,mandatory,event epicenter,True
aurizon,mandatory,event epicenter,True
perusahaan perseroan persero pt perusahaan listrik negara,mandatory,event epicenter,True
glencore,mandatory,event epicenter,True
yunnan chihong zinc&germanium,mandatory,event epicenter,True
nippon steel,mandatory,event epicenter,True
bp,mandatory,event epicenter,True
china steel,mandatory,event epicenter,True
dow,mandatory,event epicenter,True
mitsubishi materials,mandatory,event epicenter,True
basf se,mandatory,event epicenter,True
kyushu electric power,mandatory,event epicenter,True
state grid corp of china,mandatory,event epicenter,True
formosa petrochemical,mandatory,event epicenter,True
exxon mobil,mandatory,event epicenter,True
posco,mandatory,event epicenter,True
united co rusal international pjsc,mandatory,event epicenter,True
korea electric power,mandatory,event epicenter,True
xinxiang tianli energy,mandatory,event epicenter,True
bayerische motoren werke,oem,reachable from 21 of 30 events,True
mercedes-benz,oem,reachable from 20 of 30 events,True
stellantis,oem,reachable from 19 of 30 events,True
toyota motor,oem,reachable from 18 of 30 events,True
hyundai motor,oem,reachable from 17 of 30 events,True
ford motor,oem,reachable from 16 of 30 events,True
kia,oem,reachable from 16 of 30 events,True
volkswagen,oem,reachable from 16 of 30 events,True
great wall motor,oem,reachable from 15 of 30 events,True
geely automobile,oem,reachable from 14 of 30 events,True
hyundai mobis,oem,reachable from 14 of 30 events,True
tesla,oem,reachable from 14 of 30 events,True
volvo car ab,oem,reachable from 14 of 30 events,True
chongqing changan automobile,oem,reachable from 13 of 30 events,True
nio,oem,reachable from 13 of 30 events,True
saic motor,oem,reachable from 13 of 30 events,True
contemporary amperex technology,oem,reachable from 12 of 30 events,True
general motors,oem,reachable from 12 of 30 events,True
guangzhou automobile,oem,reachable from 12 of 30 events,True
hero motocorp,oem,reachable from 12 of 30 events,True
kg mobility,oem,reachable from 12 of 30 events,True
lg energy solution,oem,reachable from 12 of 30 events,True
nissan motor,oem,reachable from 12 of 30 events,True
renault,oem,reachable from 12 of 30 events,True
tata motors,oem,reachable from 12 of 30 events,True
chery automobile,oem,reachable from 11 of 30 events,True
china faw,oem,reachable from 11 of 30 events,True
dongfeng motor,oem,reachable from 11 of 30 events,True
honda motor,oem,reachable from 11 of 30 events,True
mahindra & mahindra,oem,reachable from 11 of 30 events,True
nexen tire,oem,reachable from 11 of 30 events,True
robert bosch,oem,reachable from 11 of 30 events,True
samsung sdi,oem,reachable from 11 of 30 events,True
borgwarner,oem,reachable from 10 of 30 events,True
bridgestone,oem,reachable from 10 of 30 events,True
byd,oem,reachable from 10 of 30 events,True
forvia se,oem,reachable from 10 of 30 events,True
harley-davidson,oem,reachable from 10 of 30 events,True
korea movenex,oem,reachable from 10 of 30 events,True
mazda motor,oem,reachable from 10 of 30 events,True
wooshin systems,oem,reachable from 10 of 30 events,True
