event_id,scoring_bucket,n_companies,n_reachable_hop1_2,n_with_corpus_doc,negative_type,date_first_sec_filing,score_for_recall
1_posco_2022,D,1,0,0,,,no
2_nippon_steel_2011,B,9,9,7,,2011-03-14,yes
4_dow_2017,B,9,3,2,,2017-08-29,yes
17_basf_se_2016,C,1,1,0,,,yes
18_chevron_2012,A,0,0,0,not_found,,no
19_cpc_corp_taiwan_2014,C,3,2,0,,,yes
33_kyushu_electric_power_2018,A,0,0,0,provable_negative,,no
34_korea_electric_power_2011,A,0,0,0,provable_negative,,no
47_china_steel_2018,B,2,2,2,,2018-04-26,yes
48_glencore_2025,D,1,0,0,,,no
5_formosa_plastics_2021,C,9,2,0,,2021-02-24,yes
8_exxon_mobil_2005,D,4,0,0,,2005-08-30,no
9_xinxiang_tianli_energy_2021,D,5,0,0,,,no
20_formosa_petrochemical_2019,C,1,1,0,,,yes
21_mitsubishi_materials_2014,C,1,1,0,,,yes
23_s_oil_2022,A,0,0,0,not_found,,no
35_gazprom_pjsc_2022,B,6,2,1,,2022-10-19,yes
36_basf_se_2022,A,0,0,0,not_found,,no
49_xiamen_tungsten_2010,A,0,0,0,not_found,,no
50_aneka_tambang_tbk_2020,A,0,0,0,not_found,,no
10_hesteel_2023,A,0,0,0,not_found,,no
11_aurizon_2010,B,11,3,2,,2011-01-07,yes
24_bp_2010,D,3,0,0,,2010-04-23,no
25_petrochina_2005,A,0,0,0,not_found,,no
38_perusahaan_perseroan_persero_pt_perusahaan_listrik_negara_2019,C,6,1,0,,,yes
40_state_grid_corp_of_china_2021,D,5,0,0,,2021-10-27,no
41_yunnan_aluminium_2022,A,0,0,0,not_found,,no
54_yunnan_chihong_zinc_germanium_2023,D,1,0,0,,2023-07-05,no
57_united_co_rusal_international_pjsc_2018,D,5,0,0,,2018-04-13,no
59_coronado_global_resources_2020,C,4,1,0,,2020-11-04,yes
