company,city,country,lat,lon,status
bayerische motoren werke,Munich,Germany,48.1371079,11.5753822,ok
mercedes-benz,Stuttgart,Germany,48.7784485,9.1800132,ok
toyota motor,Toyota City,Japan,35.083386,137.156412,ok
volkswagen,Wolfsburg,Germany,52.4205588,10.7861682,ok
tesla,Austin,United States,30.2711286,-97.7436995,ok
robert bosch,Gerlingen,Germany,48.7983947,9.0624386,ok
byd,Shenzhen,China,22.5445741,114.0545429,ok
magna international,Aurora,Canada,43.99973,-79.467545,ok
zf friedrichshafen,Friedrichshafen,Germany,47.6500279,9.4800858,ok
hyundai mobis,Seoul,South Korea,37.5666791,126.9782914,ok
posco future m,Pohang,South Korea,36.0189315,129.3429384,ok
hansol chemical,Seoul,South Korea,37.5666791,126.9782914,ok
kumho petrochemical,Seoul,South Korea,37.5666791,126.9782914,ok
murata manufacturing,Nagaokakyo,Japan,34.9265292,135.6953718,ok
asahi kasei,Tokyo,Japan,35.6768601,139.7638947,ok
tokai carbon,Tokyo,Japan,35.6768601,139.7638947,ok
nichias,Tokyo,Japan,35.6768601,139.7638947,ok
sunwoda electronic,Shenzhen,China,22.5445741,114.0545429,ok
zeon,Tokyo,Japan,35.6768601,139.7638947,ok
nan ya plastics,Taipei,Taiwan,25.0375198,121.5636796,ok
krakatau steel persero tbk pt,Cilegon,Indonesia,-6.017389,106.0537688,ok
gunung raja paksi tbk pt,Cikarang,Indonesia,-6.2553138,107.1450733,ok
waskita karya persero tbk pt,Jakarta,Indonesia,-6.1754049,106.827168,ok
medco energi internasional tbk pt,Jakarta,Indonesia,-6.1754049,106.827168,ok
tenaris,Luxembourg City,Luxembourg,49.601051,6.0639946,ok
stellantis,Amsterdam,Netherlands,52.3730796,4.8924534,ok
great wall motor,Baoding,China,38.8579735,115.490696,ok
nio,Hefei,China,31.8665676,117.281428,ok
guangzhou automobile,Guangzhou,China,23.1288429,113.2589581,ok
nissan motor,Yokohama,Japan,35.4503381,139.6343802,ok
china faw,Changchun,China,43.8844844,125.3181675,ok
nexen tire,Yangsan,South Korea,35.3349979,129.0370582,ok
forvia se,Nanterre,France,48.8924273,2.2071267,ok
wooshin systems,Siheung,South Korea,37.3798891,126.8032255,ok
baic bluepark new energy technology,Beijing,China,39.9057136,116.3912972,ok
eicher motors,Chennai,India,13.0836939,80.270186,ok
hyundai transys,Seosan,South Korea,36.784499,126.450317,ok
saic volkswagen automotive,Shanghai,China,31.2312707,121.4700152,ok
nexteer automotive,Auburn Hills,United States,42.6875323,-83.2341028,ok
xpeng,Zhaoqing,China,23.0501661,112.4603629,ok
gotion high-tech,Hefei,China,31.8665676,117.281428,ok
schaeffler,Herzogenaurach,Germany,49.5738171,10.8926968,ok
adient,Plymouth,United States,42.7369124,-96.2213607,ok
valeo se,Paris,France,48.8534951,2.3483915,ok
