company_clean,field,tied_values,tied_count,all_values
bgrimm technology,industry,"Chemicals, Engineering & Construction",1,"Chemicals (1), Engineering & Construction (1)"
continental,industry,"Engineering & Construction, Automotive",21,"Engineering & Construction (21), Automotive (21)"
continental,country,"Taiwan, Germany",21,"Taiwan (21), Germany (21)"
gaztransport & technigaz,country,"France, Spain",4,"France (4), Spain (4)"
hanwina aerospace,industry,"Chemicals, Aerospace & Defense",7,"Chemicals (7), Aerospace & Defense (7)"
hauwina aerospace,country,"China, South Korea",3,"China (3), South Korea (3)"
hkc,industry,"Technology Hardware, Machinery",1,"Technology Hardware (1), Machinery (1)"
hkc,country,"China, South Korea",1,"China (1), South Korea (1)"
maraiikin oil,country,"UAE, USA",1,"UAE (1), USA (1)"
national petroleum,country,"Taiwan, Egypt",1,"Taiwan (1), Egypt (1)"
steyr motors,industry,"Electrical Equipment, Automotive",1,"Electrical Equipment (1), Automotive (1)"
steyr motors,country,"Austria, China",1,"Austria (1), China (1)"
tol technology,country,"Taiwan, USA",1,"Taiwan (1), USA (1)"
transdxjm,country,"China, USA",2,"China (2), USA (2)"
ultrans lrt,country,"South Korea, China",2,"South Korea (2), China (2)"
yunding technology,country,"Taiwan, China",1,"Taiwan (1), China (1)"
zimplats,country,"Guernsey, UK",2,"Guernsey (2), UK (2)"
