node,industry,country,in_degree,out_degree,word_count,decision
10-0 cirebon electric power pt,Electric Utilities,Indonesia,1,0,5,
23rd metallurgical construction group co ltd of minmetals,Engineering & Construction,China,2,0,8,
abastecedora de fierro y acero sa de cv,Steel,Spain,1,0,8,
abu dhabi national energy co pjsc,Electric Utilities,UAE,2,0,6,
abu dhabi national oil co for distribution pjsc,Oil & Gas Producers,UAE,1,1,8,
acarer metal sanayi ve ticaret as,Steel,Turkey,1,0,6,
aceros alcalde sa de cv,Steel,Spain,1,0,5,
aceros consolidada sa de cv,Steel,Spain,1,0,5,
aceros del toro sa de cv,Steel,Spain,1,0,6,
aceros en barras al carbono sa de cv,Steel,Spain,1,0,8,
aceros murillo sa de cv,Steel,Spain,1,0,5,
acme metals & steel supply,Steel,USA,1,0,5,
adani ports & special economic zone,Transportation & Logistics,India,2,0,6,
adaro energy indonesia tbk pt,Metals & Mining,Indonesia,4,0,5,
adaro minerals indonesia tbk pt,Metals & Mining,Indonesia,1,0,5,
adhi karya persero tbk pt,Engineering & Construction,Indonesia,6,27,5,
aldrees petroleum and transport services,Oil & Gas Producers,Saudi Arabia,1,0,5,
alia the royal jordanian airlines,Transportation & Logistics,Jordan,1,0,5,
alumindo light metal industry tbk pt,Metals & Mining,Indonesia,5,6,6,
an pha petroleum group jsc,Gas & Water Utilities,Vietnam,2,0,5,
anhui kelihua chemical & industry,Chemicals,China,1,0,5,
anhui wanwei updated high-tech material industry,Chemicals,China,2,0,6,
anima watners updated high-tech material industry,Chemicals,China,2,0,6,
anjwa smart farm & solar city,Renewable Energy,South Korea,1,1,6,
ap moller - maersk a/s,Transportation & Logistics,Denmark,5,0,5,
aqua-terra oilfield equipment & services pte,Machinery,Singapore,1,0,6,
asahi kasei mitsubishi chemical ethylene,Chemicals,Japan,1,0,5,
asia pacific wire & cable,Industrial Intermediate Prod,Taiwan,2,0,5,
asia world engineering & construction,Engineering & Construction,China,1,0,5,
astrakhan power sale co pao,Electric Utilities,Russia,4,0,5,
ateliers mecaniques d indonesie tbk pt,Electrical Equipment,Indonesia,1,0,6,
auxim de mexico s de rl de cv,Automotive,Mexico,1,0,8,
ba ria thermal power jsc,Electric Utilities,Vietnam,3,0,5,
baic bluepark new energy technology,Automotive,China,14,15,5,
baker hughes do brasil ltda,Machinery,Brazil,1,0,5,
bakrie and brothers tbk pt,Steel,Indonesia,7,16,5,
baogang zhan bo international trade,Steel,Hong Kong,2,1,5,
baosheng science and technology innovation,Electrical Equipment,China,1,4,5,
baosteel group xinjiang bayi iron & steel,Steel,China,1,0,7,
baowu group echeng iron & steel,Steel,China,1,0,6,
baowu group zhongnan iron & steel,Steel,China,1,0,6,
beida xianxing tai'an technology industry,Chemicals,China,1,0,5,
beijing shougang alliance of xingang science & trade,Steel,China,1,0,8,
beijing shougang gitane new materials,Steel,China,1,0,5,
beijing shougang international engineering technolog,Engineering & Construction,China,1,0,5,
beijing shougang lujiashan limestone mine,Construction Materials,China,1,0,5,
beijing shougang refractory & metallurgical burden,Construction Materials,China,1,0,6,
benxi beiying iron & steel,Steel,China,4,1,5,
