node,decision,confidence,reason
10-0 cirebon electric power pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
23rd metallurgical construction group co ltd of minmetals,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
abastecedora de fierro y acero sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
abu dhabi national energy co pjsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
abu dhabi national oil co for distribution pjsc,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
acarer metal sanayi ve ticaret as,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
aceros alcalde sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
aceros consolidada sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
aceros del toro sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
aceros en barras al carbono sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
aceros murillo sa de cv,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
acme metals & steel supply,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
adani ports & special economic zone,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
adaro energy indonesia tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
adaro minerals indonesia tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
adhi karya persero tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
aldrees petroleum and transport services,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
alia the royal jordanian airlines,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
alumindo light metal industry tbk pt,keep,high,plausible real company name with legal-entity suffix or standard corporate naming pattern; long/unusual only due to language/country naming convention
