company_a,company_b,similarity_score,count_a,count_b
abm investama lbk pt,abm investama tbk pt,100,2,2
mitsui,mitsui high-tec,100,75,2
mitsui,mitsui mining & smelting,100,75,3
mitsui,mitsui osk lines,100,75,2
mitsui,mitsui sumitomo metal mining brass & copper,100,75,1
mitsui chemicals,mitsui chemicals & skc polyurethanes,100,11,2
mitsui chemicals & skc polyurethanes,skc,100,2,48
mitsui sumitomo metal mining brass & copper,sumitomo metal mining,100,1,66
miwon,miwon chemicals,100,4,5
miwon,miwon commercial,100,4,12
miwon,miwon commercial cn,100,4,1
miwon,miwon europe,100,4,1
miwon,miwon spain sl sociedad unipersonal,100,4,1
miwon,miwon specialty chemical co ltd/new,100,4,21
miwon commercial,miwon commercial cn,100,12,1
mmc norilsk nickel pjsc,norilsk,100,19,1
mmg,mmg lkl,100,10,4
mobase,mobase electronics,100,1,43
mol hungarian oil & gas,mol hungarian oil g gas pic,100,1,1
mitsui,mitsui matsushima,100,75,9
mitsui,mitsui e&s,100,75,10
posco,posco steeleon,100,273,9
mitsui,mitsui chemicals & skc polyurethanes,100,75,2
ls,ls mnm,100,20,2
mahle,mahle behr gmbh & co kg,100,9,1
mahle,mahle metal leve,100,9,3
maruzen showa unyu,showa,100,1,1
meglobal,meglobal canada ulc,100,1,1
metallurgical corp of china,power construction corp of china,100,77,3
mitani,mitani sangyo,100,1,6
mitani,mitani sekisan,100,1,2
mitsubishi,mitsubishi gas chemical,100,1,95
mitsubishi,mitsubishi heavy industries,100,1,61
mitsubishi,mitsubishi kakoki kaisha,100,1,1
mitsubishi,mitsubishi logisnext,100,1,5
mitsubishi,mitsubishi materials,100,1,51
mitsubishi,mitsubishi motors,100,1,30
mitsubishi,mitsubishi steel manufacturing,100,1,35
mitsubishi,ps mitsubishi construction,100,1,3
mitsui,mitsui chemicals,100,75,11
morgan sindall,morgan sindall group pic,100,1,1
munjal showa,showa,100,2,1
nanshan,shenzhen nanshan power,100,1,1
national petroleum,vietnam national petroleum,100,2,1
pangang,pangang group panzhihua steel vanadium,100,1,2
pangang,pangang group vanadium titanium & resources,100,1,2
pelabuhan indonesia i persero pt,pelabuhan indonesia persero pt,100,1,1
pelabuhan indonesia iii persero pt,pelabuhan indonesia persero pt,100,1,1
pelabuhan indonesia iv persero pt,pelabuhan indonesia persero pt,100,3,1
petro vietnam construction jsc,petro vietnam lpg jsc,100,3,3
petroliam nasional bhd,petroliam nasional bhd 17) vector,100,10,1
petrovietnam gas city investment and development jsc,petrovietnam gas jsc,100,1,60
petrovietnam gas jsc,petrovietnam low pressure gas distribution jsc,100,60,7
petrovietnam oil,petrovietnam oil nam dinh jsc,100,57,2
petrovietnam oil,petrovietnam oil phu yen jsc,100,57,2
petrovietnam oil,thai binh petrovietnam oil jsc,100,57,2
posco,posco a&c,100,273,1
posco,posco dx,100,273,8
posco,posco eco & challenge,100,273,71
posco,posco future m,100,273,51
posco,posco mc materials,100,273,1
pan american energy,pan american silver,100,1,10
pacific national holdings pty,pacific national pty,100,1,2
osaka soda,osaka soda co td,100,6,1
noroo,noroo paint & coatings,100,6,3
nec,nec networks & system integration,100,9,1
nec,nec networks & system integration corn,100,9,1
nec networks & system integration,nec networks & system integration corn,100,1,1
nexen,nexen tire,100,5,8
nichia,nichia steel works,100,3,18
ningbo shanshan,shanshan,100,35,1
nippon electric glass,nippon sheet glass,100,2,40
northvolt ab,northvolt ett ab,100,9,1
osaka organic chemical industry,osaka organic chemical industry lid,100,2,3
ntpc,ntpc ge power services pvt,100,4,1
nuclear power corp of india,power construction corp of china,100,2,3
oci,oci co ltd/new,100,45,1
oil & natural gas,oil the natural gas,100,34,3
okabe,okabe co td,100,2,1
omv,omv petrom,100,29,1
ontic engineering & manufacturing,ontic engineering & manufacturing uk,100,1,1
ls,ls cable & system,100,20,1
lotte chemical titan holding bhd,lotte chemical titan tbk pt,100,2,2
linde,linde plc/old,100,4,4
inner mongolia baotou steel union,inner mongolia baotou stool union,100,9,24
holcim,holcim liban sal,100,27,1
holcim,holcim philippines,100,27,1
huludao shougang donghua machinery,shougang,100,1,14
hunan chendian international development,hunan development,100,1,1
hwa shin,shin hwa dynamics,100,1,1
hyosung,hyosung advanced materials,100,36,2
hyundai mobis,hyundai mobis mexico s de rl de cv,100,31,2
hyundai transys,hyundai transys georgia powertrain,100,5,1
hyundai wia,hyundai wia automotive engine shandong,100,11,1
iljin,iljin bearing,100,4,1
impala,impala platinum,100,1,10
ina-holding schaeffler gmbh & co kg,schaeffler,100,1,145
indal aluminium industry tbk pt,indal aluminium industry tble pt,100,10,7
industrias ch,industrias ch sab de cv,100,16,116
industries qatar qsc,qatar electricity & water co qsc,100,3,4
industries qatar qsc,qatar fuel qsc,100,3,1
ineos,ineos styrolution ludwigshafen,100,6,2
holcim,holcim ecuador,100,27,1
holcim,holcim costa rica,100,27,1
holcim,holcim argentina,100,27,1
hd hyundai electric,hd hyundai infracore,100,1,3
hd hyundai,hd hyundai and shell base oil,100,22,1
hd hyundai,hd hyundai electric,100,22,1
hd hyundai,hd hyundai heavy industries,100,22,8
hd hyundai,hd hyundai infracore,100,22,3
hd hyundai and shell base oil,hd hyundai electric,100,1,1
hd hyundai and shell base oil,shell,100,1,83
hd hyundai electric,hd hyundai heavy industries,100,1,8
hdc,hdc hyundai development co-engineering & construction,100,6,2
hoegh autoliners,hoegh autoliners asa,100,1,1
hdc,hdc hyundai engineering plastics,100,6,9
hiroca,hiroca holdings lid,100,2,4
