company_a,company_b,similarity_score,decision,canonical_name
abm investama lbk pt,abm investama tbk pt,100.0,approve,abm investama tbk pt
dl,dl holdings co lirl,100.0,approve,dl holdings co lirl
electric wire & cable,ta ya electric wire & cable,100.0,reject,
electric wire & cable,skmi wire & cable tbk pt,100.0,reject,
electric wire & cable,kmi wire & cable tbk pt,100.0,reject,
arcelormittal,arcelormittal nippon steel india,100.0,reject,
electric wire & cable,jiangsu tongguang electronic wire and cable,100.0,reject,
electric wire & cable,hua eng wire & cable,100.0,reject,
electric wire & cable,hold-key electric wire & cable,100.0,reject,
electric wire & cable,evertop wire cable,100.0,reject,
arcelormittal,arcelormittal south africa,100.0,reject,
edf,edf renouvelables,100.0,reject,
edf,edf energy nuclear generation,100.0,reject,
ecopro,ecopro materials,100.0,reject,
bae systems,rheinmetall bae systems land,100.0,reject,
dongfeng automobile,dongfeng honda automobile,100.0,reject,
enel,enel distribucion chile,100.0,reject,
electric wire & cable,tai-i electric wire & cable,100.0,reject,
ecopro,ecopro innovation,100.0,reject,
electric wire & cable,tatsuta electric wire and cable,100.0,reject,
enel,enel colombia sa esp,100.0,reject,
ecopro,ecopro hn,100.0,reject,
emirates,emirates nuclear energy,100.0,reject,
chengdu ningjiang showa autoparts,showa,100.0,reject,
ap moller - maersk a/s,ap moller maersk a/s,100.0,approve,ap moller - maersk a/s
enel,enel destribucion peru sma,100.0,reject,
chiyoda,chiyoda air-con parts,100.0,reject,
chevron,chevron phillips chemical,100.0,reject,
beijing shougang construction,beijing shougang gitane new materials,100.0,reject,
chia ta world,ta,100.0,reject,
enel,enel chile,100.0,reject,
arcelormittal,arcelormittal kryvyi rih pjsc,100.0,reject,
enel,enel brasil,100.0,reject,
enel,enel americas,100.0,reject,
china changan automobile,chongqing changan automobile,100.0,reject,
baosteel metal,shanghai baosteel & arcelor tailor metal,100.0,reject,
china wire & cable,jiangsu tongguang electronic wire and cable,100.0,reject,
beijing automotive,beijing hainachuan automotive parts,100.0,reject,
chongqing chang'an visteon engine control system,visteon,100.0,reject,
cie automotive,cie automotive india,100.0,reject,
beijing shougang,beijing shougang international engineering technolog,100.0,reject,
beijing shougang,beijing shougang lujiashan limestone mine,100.0,reject,
china wire & cable,tai-i electric wire & cable,100.0,reject,
chongqing water,chongqing water conservancy investment,100.0,reject,
chongqing three gorges water conservancy & electric power,chongqing water,100.0,reject,
china wire & cable,tatsuta electric wire and cable,100.0,reject,
china wire & cable,ta ya electric wire & cable,100.0,reject,
continental,continental resources inc/ok,100.0,reject,
corning,dow corning toray,100.0,reject,
