node,industry,country,in_degree,out_degree,flag_reason,decision
10-0 cirebon electric power pt,Electric Utilities,Indonesia,1,0,low degree,
1komma5,Electric Utilities,Germany,1,0,low degree,
5n plus,Metals & Mining,Canada,1,0,low degree,
a o smith,Electrical Equipment,USA,1,0,low degree,
a-mark precious metals,Metals & Mining,USA,1,0,low degree,
a123 systems,Renewable Energy,USA,1,0,low degree,
aa energi as,Electric Utilities,Norway,1,0,low degree,
aac technologies,Technology Hardware,Cayman Islands,0,1,low degree,
aalberts,Machinery,Netherlands,1,0,low degree,
aarti industries,Chemicals,India,1,0,low degree,
abastecedora de fierro y acero sa de cv,Steel,Spain,1,0,low degree,
abinsa sa de cv,Steel,Spain,1,0,low degree,
abonmax,Technology Hardware,Taiwan,1,0,low degree,
abp jersey,Transportation & Logistics,UK,1,0,low degree,
abrasilver resource,Metals & Mining,Canada,1,0,low degree,
acarer metal sanayi ve ticaret as,Steel,Turkey,1,0,low degree,
acc,Construction Materials,India,1,0,low degree,
accuride,Transportation Equipment,USA,1,0,low degree,
accuride international,Industrial Intermediate Prod,USA,1,0,low degree,
acer,Technology Hardware,Taiwan,1,0,low degree,
aceros alcalde sa de cv,Steel,Spain,1,0,low degree,
aceros consolidada sa de cv,Steel,Spain,1,0,low degree,
aceros del toro sa de cv,Steel,Spain,1,0,low degree,
aceros en barras al carbono sa de cv,Steel,Spain,1,0,low degree,
aceros murillo sa de cv,Steel,Spain,1,0,low degree,
aceros ocotlan,Steel,Mexico,1,0,low degree,
aci,Automotive,Bangladesh,1,0,low degree,
acids,Chemicals,Japan,1,0,low degree,
acm research shanghai,Semiconductors,China,1,0,low degree,
acme electronics,Electrical Equipment,Taiwan,1,0,low degree,
acme metals & steel supply,Steel,USA,1,0,low degree,
acs actividades de construccion y servicios,Engineering & Construction,Spain,1,0,low degree,
action stainless & alloys,Steel,USA,1,0,low degree,
acts trading,Steel,Japan,1,0,low degree,
acwa power,Electric Utilities,Saudi Arabia,1,0,low degree,
adani power,Electric Utilities,India,1,0,low degree,
adaro minerals indonesia tbk pt,Metals & Mining,Indonesia,1,0,low degree,
adda,Electrical Equipment,Taiwan,1,0,low degree,
adelphia metals,Steel,USA,1,0,low degree,
adf,Industrial Intermediate Prod,Canada,1,0,low degree,
aditya vision,Technology Hardware,India,1,0,low degree,
adnoc global trading,Oil & Gas Producers,UAE,1,0,low degree,
advance materials,Technology Hardware,Taiwan,1,0,low degree,
