event_id,category,system,scoring_bucket,score_for_recall,score_for_precision,n_predicted,n_affected_total,n_affected_reachable,tp,tp_reachable,fp
1_posco_2022,natural_disaster,A,D,False,True,1,1,0,0,0,1
2_nippon_steel_2011,natural_disaster,A,B,True,True,2,9,9,0,0,2
4_dow_2017,natural_disaster,A,B,True,True,0,9,3,0,0,0
17_basf_se_2016,industrial_accident,A,C,True,True,0,1,1,0,0,0
18_chevron_2012,industrial_accident,A,A,False,True,1,0,0,0,0,1
19_cpc_corp_taiwan_2014,industrial_accident,A,C,True,True,0,3,2,0,0,0
33_kyushu_electric_power_2018,energy,A,A,False,True,0,0,0,0,0,0
34_korea_electric_power_2011,energy,A,A,False,True,0,0,0,0,0,0
47_china_steel_2018,geopolitical_policy,A,B,True,True,1,2,2,0,0,1
48_glencore_2025,uncategorized,A,D,False,True,0,1,0,0,0,0
5_formosa_plastics_2021,natural_disaster,A,C,True,True,0,9,2,0,0,0
8_exxon_mobil_2005,natural_disaster,A,D,False,True,0,4,0,0,0,0
9_xinxiang_tianli_energy_2021,natural_disaster,A,D,False,True,1,5,0,0,0,1
20_formosa_petrochemical_2019,industrial_accident,A,C,False,False,1,1,1,0,0,1
21_mitsubishi_materials_2014,industrial_accident,A,C,True,True,0,1,1,0,0,0
23_s_oil_2022,industrial_accident,A,A,False,True,1,0,0,0,0,1
35_gazprom_pjsc_2022,geopolitical_policy,A,B,True,True,0,6,2,0,0,0
36_basf_se_2022,energy,A,A,False,False,0,0,0,0,0,0
49_xiamen_tungsten_2010,geopolitical_policy,A,A,False,False,0,0,0,0,0,0
50_aneka_tambang_tbk_2020,geopolitical_policy,A,A,False,True,0,0,0,0,0,0
10_hesteel_2023,natural_disaster,A,A,False,True,2,0,0,0,0,2
11_aurizon_2010,natural_disaster,A,B,True,True,0,11,3,0,0,0
24_bp_2010,industrial_accident,A,D,False,True,0,3,0,0,0,0
25_petrochina_2005,industrial_accident,A,A,False,True,0,0,0,0,0,0
38_perusahaan_perseroan_persero_pt_perusahaan_listrik_negara_2019,energy,A,C,True,True,0,6,1,0,0,0
40_state_grid_corp_of_china_2021,energy,A,D,False,True,0,5,0,0,0,0
41_yunnan_aluminium_2022,energy,A,A,False,True,0,0,0,0,0,0
54_yunnan_chihong_zinc_germanium_2023,geopolitical_policy,A,D,False,True,0,1,0,0,0,0
57_united_co_rusal_international_pjsc_2018,geopolitical_policy,A,D,False,True,0,5,0,0,0,0
59_coronado_global_resources_2020,geopolitical_policy,A,C,True,True,0,4,1,0,0,0
1_posco_2022,natural_disaster,B,D,False,True,63,1,0,0,0,63
2_nippon_steel_2011,natural_disaster,B,B,True,True,81,9,9,9,9,72
4_dow_2017,natural_disaster,B,B,True,True,9,9,3,1,1,8
17_basf_se_2016,industrial_accident,B,C,True,True,30,1,1,0,0,30
18_chevron_2012,industrial_accident,B,A,False,True,8,0,0,0,0,8
19_cpc_corp_taiwan_2014,industrial_accident,B,C,True,True,5,3,2,0,0,5
33_kyushu_electric_power_2018,energy,B,A,False,True,68,0,0,0,0,68
34_korea_electric_power_2011,energy,B,A,False,True,10,0,0,0,0,10
47_china_steel_2018,geopolitical_policy,B,B,True,True,29,2,2,2,2,27
48_glencore_2025,uncategorized,B,D,False,True,18,1,0,0,0,18
5_formosa_plastics_2021,natural_disaster,B,C,True,True,7,9,2,0,0,7
8_exxon_mobil_2005,natural_disaster,B,D,False,True,10,4,0,0,0,10
9_xinxiang_tianli_energy_2021,natural_disaster,B,D,False,True,3,5,0,0,0,3
20_formosa_petrochemical_2019,industrial_accident,B,C,False,False,14,1,1,1,1,13
21_mitsubishi_materials_2014,industrial_accident,B,C,True,True,6,1,1,0,0,6
23_s_oil_2022,industrial_accident,B,A,False,True,0,0,0,0,0,0
35_gazprom_pjsc_2022,geopolitical_policy,B,B,True,True,3,6,2,0,0,3
36_basf_se_2022,energy,B,A,False,False,30,0,0,0,0,30
49_xiamen_tungsten_2010,geopolitical_policy,B,A,False,False,12,0,0,0,0,12
50_aneka_tambang_tbk_2020,geopolitical_policy,B,A,False,True,8,0,0,0,0,8
10_hesteel_2023,natural_disaster,B,A,False,True,10,0,0,0,0,10
11_aurizon_2010,natural_disaster,B,B,True,True,5,11,3,2,2,3
24_bp_2010,industrial_accident,B,D,False,True,11,3,0,0,0,11
25_petrochina_2005,industrial_accident,B,A,False,True,5,0,0,0,0,5
38_perusahaan_perseroan_persero_pt_perusahaan_listrik_negara_2019,energy,B,C,True,True,5,6,1,0,0,5
40_state_grid_corp_of_china_2021,energy,B,D,False,True,1,5,0,0,0,1
41_yunnan_aluminium_2022,energy,B,A,False,True,6,0,0,0,0,6
54_yunnan_chihong_zinc_germanium_2023,geopolitical_policy,B,D,False,True,0,1,0,0,0,0
57_united_co_rusal_international_pjsc_2018,geopolitical_policy,B,D,False,True,2,5,0,0,0,2
59_coronado_global_resources_2020,geopolitical_policy,B,C,True,True,2,4,1,1,1,1
