event_id,category,system,scoring_bucket,score_for_recall,score_for_precision,n_predicted,n_affected_total,n_affected_reachable,tp,tp_reachable,fp,tp_names,fp_names,missed_names
1_posco_2022,natural_disaster,A,D,False,True,1,1,0,0,0,1,[],['posco'],[]
2_nippon_steel_2011,natural_disaster,A,B,True,True,2,9,9,0,0,2,[],"['auto', 'steel']","['ford motor', 'general motors', 'hitachi', 'honda motor', 'komatsu', 'nissan motor', 'panasonic', 'sony', 'toyota motor']"
4_dow_2017,natural_disaster,A,B,True,True,0,9,3,0,0,0,[],[],"['ashland', 'exxon mobil', 'formosa plastics', 'ineos', 'occidental petroleum', 'shell']"
17_basf_se_2016,industrial_accident,A,C,True,True,0,1,1,0,0,0,[],[],['dow']
18_chevron_2012,industrial_accident,A,A,False,True,1,0,0,0,0,1,[],['unit'],[]
19_cpc_corp_taiwan_2014,industrial_accident,A,C,True,True,0,3,2,0,0,0,[],[],"['china petrochemical development', 'taiwan power']"
33_kyushu_electric_power_2018,energy,A,A,False,True,0,0,0,0,0,0,[],[],[]
34_korea_electric_power_2011,energy,A,A,False,True,0,0,0,0,0,0,[],[],[]
47_china_steel_2018,geopolitical_policy,A,B,True,True,1,2,2,0,0,1,[],['steel'],"['ford motor', 'general motors']"
48_glencore_2025,uncategorized,A,D,False,True,0,1,0,0,0,0,[],[],['eurasian resources']
5_formosa_plastics_2021,natural_disaster,A,C,True,True,0,9,2,0,0,0,[],[],"['celanese', 'infineon technologies', 'lyondellbasell industries', 'nxp semiconductors', 'olin', 'samsung electronics']"
8_exxon_mobil_2005,natural_disaster,A,D,False,True,0,4,0,0,0,0,[],[],"['air products and chemicals', 'cf industries']"
9_xinxiang_tianli_energy_2021,natural_disaster,A,D,False,True,1,5,0,0,0,1,[],['logistics'],"['fedex', 'hon hai precision industry', 'nissan motor', 'saic motor']"
20_formosa_petrochemical_2019,industrial_accident,A,C,False,False,1,1,1,0,0,1,[],['unit'],['formosa chemicals & fibre']
21_mitsubishi_materials_2014,industrial_accident,A,C,True,True,0,1,1,0,0,0,[],[],['sumco']
23_s_oil_2022,industrial_accident,A,A,False,True,1,0,0,0,0,1,[],['unit'],[]
35_gazprom_pjsc_2022,geopolitical_policy,A,B,True,True,0,6,2,0,0,0,[],[],"['alcoa', 'arcelormittal', 'norsk hydro asa', 'nyrstar', 'yara international asa']"
36_basf_se_2022,energy,A,A,False,False,0,0,0,0,0,0,[],[],[]
49_xiamen_tungsten_2010,geopolitical_policy,A,A,False,False,0,0,0,0,0,0,[],[],[]
50_aneka_tambang_tbk_2020,geopolitical_policy,A,A,False,True,0,0,0,0,0,0,[],[],[]
10_hesteel_2023,natural_disaster,A,A,False,True,2,0,0,0,0,2,[],"['logistics', 'steel']",[]
11_aurizon_2010,natural_disaster,A,B,True,True,0,11,3,0,0,0,[],[],"['arcelormittal', 'bhp', 'peabody energy', 'rio tinto', 'vale']"
24_bp_2010,industrial_accident,A,D,False,True,0,3,0,0,0,0,[],[],[]
25_petrochina_2005,industrial_accident,A,A,False,True,0,0,0,0,0,0,[],[],[]
38_perusahaan_perseroan_persero_pt_perusahaan_listrik_negara_2019,energy,A,C,True,True,0,6,1,0,0,0,[],[],['indosat tbk pt']
40_state_grid_corp_of_china_2021,energy,A,D,False,True,0,5,0,0,0,0,[],[],['unimicron technology']
41_yunnan_aluminium_2022,energy,A,A,False,True,0,0,0,0,0,0,[],[],[]
