event_id,total_tokens,prompt_tokens,completion_tokens,hop_count,n_evidenced_companies,tokens_per_evidenced_company
10_hesteel_2023,32459,29497,2962,2,7,4637.0
11_aurizon_2010,49382,46795,2587,4,2,24691.0
17_basf_se_2016,86880,84646,2234,4,1,86880.0
18_chevron_2012,39136,38118,1018,2,6,6522.7
19_cpc_corp_taiwan_2014,58925,56922,2003,4,7,8417.9
1_posco_2022,105413,103757,1656,4,3,35137.7
20_formosa_petrochemical_2019,61587,58627,2960,4,3,20529.0
21_mitsubishi_materials_2014,29904,29050,854,2,8,3738.0
23_s_oil_2022,64866,62637,2229,4,2,32433.0
24_bp_2010,70627,67258,3369,4,2,35313.5
25_petrochina_2005,41804,38699,3105,4,1,41804.0
2_nippon_steel_2011,42674,41881,793,2,10,4267.4
33_kyushu_electric_power_2018,48486,47643,843,2,6,8081.0
34_korea_electric_power_2011,67112,64189,2923,4,2,33556.0
35_gazprom_pjsc_2022,60598,58342,2256,4,2,30299.0
36_basf_se_2022,96832,93974,2858,4,2,48416.0
38_perusahaan_perseroan_persero_pt_perusahaan_listrik_negara_2019,11334,10385,949,4,0,
40_state_grid_corp_of_china_2021,43017,40536,2481,4,2,21508.5
41_yunnan_aluminium_2022,85247,83272,1975,4,2,42623.5
47_china_steel_2018,99283,95427,3856,4,4,24820.8
48_glencore_2025,39079,38343,736,2,1,39079.0
49_xiamen_tungsten_2010,53050,51846,1204,3,7,7578.6
4_dow_2017,26980,25490,1490,2,9,2997.8
50_aneka_tambang_tbk_2020,29160,26756,2404,2,5,5832.0
54_yunnan_chihong_zinc_germanium_2023,11567,10495,1072,4,0,
57_united_co_rusal_international_pjsc_2018,95762,93181,2581,4,5,19152.4
59_coronado_global_resources_2020,53643,51132,2511,4,2,26821.5
5_formosa_plastics_2021,25753,23185,2568,2,11,2341.2
8_exxon_mobil_2005,62606,59638,2968,4,4,15651.5
9_xinxiang_tianli_energy_2021,23644,21898,1746,2,4,5911.0
