max_tier,event_id,category,score_for_recall,score_for_precision,n_predicted_raw,n_affected_total,n_affected_reachable,tp,tp_reachable,fp
1,1_posco_2022,natural_disaster,False,True,63,1,0,0,0,63
1,2_nippon_steel_2011,natural_disaster,True,True,81,9,9,9,9,72
1,4_dow_2017,natural_disaster,True,True,9,9,3,1,1,8
1,17_basf_se_2016,industrial_accident,True,True,30,1,1,0,0,30
1,18_chevron_2012,industrial_accident,False,True,8,0,0,0,0,8
1,19_cpc_corp_taiwan_2014,industrial_accident,True,True,5,3,2,0,0,5
1,33_kyushu_electric_power_2018,energy,False,True,68,0,0,0,0,68
1,34_korea_electric_power_2011,energy,False,True,10,0,0,0,0,10
1,47_china_steel_2018,geopolitical_policy,True,True,29,2,2,2,2,27
1,48_glencore_2025,uncategorized,False,True,18,1,0,0,0,18
1,5_formosa_plastics_2021,natural_disaster,True,True,7,9,2,0,0,7
1,8_exxon_mobil_2005,natural_disaster,False,True,10,4,0,0,0,10
1,9_xinxiang_tianli_energy_2021,natural_disaster,False,True,3,5,0,0,0,3
1,20_formosa_petrochemical_2019,industrial_accident,False,False,14,1,1,1,1,13
1,21_mitsubishi_materials_2014,industrial_accident,True,True,6,1,1,0,0,6
1,23_s_oil_2022,industrial_accident,False,True,0,0,0,0,0,0
1,35_gazprom_pjsc_2022,geopolitical_policy,True,True,3,6,2,0,0,3
1,36_basf_se_2022,energy,False,False,30,0,0,0,0,30
1,49_xiamen_tungsten_2010,geopolitical_policy,False,False,12,0,0,0,0,12
1,50_aneka_tambang_tbk_2020,geopolitical_policy,False,True,8,0,0,0,0,8
1,10_hesteel_2023,natural_disaster,False,True,10,0,0,0,0,10
1,11_aurizon_2010,natural_disaster,True,True,5,11,3,2,2,3
1,24_bp_2010,industrial_accident,False,True,11,3,0,0,0,11
1,25_petrochina_2005,industrial_accident,False,True,5,0,0,0,0,5
1,38_perusahaan_perseroan_persero_pt_perusahaan_listrik_negara_2019,energy,True,True,5,6,1,0,0,5
1,40_state_grid_corp_of_china_2021,energy,False,True,1,5,0,0,0,1
1,41_yunnan_aluminium_2022,energy,False,True,6,0,0,0,0,6
1,54_yunnan_chihong_zinc_germanium_2023,geopolitical_policy,False,True,0,1,0,0,0,0
